Type,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Method,Private Method - br.com.goclip.model.DocumentQueryBuilderTest.checkDateOrder.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,8,0,6,0,4,1,0,2,4,0,4,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.model.DocumentQueryBuilderTest.checkDateOrder.(lambda_expr_1).(lambda_expr_2),,,,,,,,,,,,,,,,,,,,,,,,,3,6,0,6,0,4,0,7,3,0,1,3,0,3,3,3,5,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.model.DocumentQueryBuilderTest.shouldFindByCategory.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,4,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.model.DocumentQueryBuilderTest.shouldFindByCategory.(lambda_expr_2),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.model.DocumentQueryBuilderTest.shouldFindByCategoryRemoved.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,4,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.model.DocumentQueryBuilderTest.shouldFindByCategoryRemoved.(lambda_expr_2),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.model.DocumentTest.shouldIndexDocumentEmptyDate.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.model.DocumentTest.shouldIndexDocumentEmptyDate.(lambda_expr_2),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.model.DocumentTest.shouldIndexDocumentInvalidDate.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.model.DocumentTest.shouldIndexDocumentInvalidDate.(lambda_expr_2),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
